county,state,max_cases,avg_growth_rate,max_growth_rate,total_population,num_deaths,percent_smokers,percent_vaccinated,income_ratio,population_density_per_sqmi,percent_fair_or_poor_health,percent_unemployed_CHR,violent_crime_rate,chlamydia_rate,teen_birth_rate,total_cases,deaths_per_100k,cases_per_100k
Macomb,Michigan,40931,0.032595719141243255,0.8181818181818182,859703,11677,18.558096157,49,4.2458234772,1794.3569349021675,16.156036102,4.0490882929,292.52529276,401,1375.4367343000001,4761.062832164131,1358.2597711069986,4761.062832164131
Macon,Georgia,6874,-3.7081155367585272,0.9736842105263158,35676.351655629136,594.3205298013245,19.769012732133774,42.15629139072848,4.903923035602848,68.90842965677119,21.72207603181192,4.565118232530994,344.80873241037085,552.3725827814569,3880.5738659801323,19267.665220794504,1665.8668900286796,19267.665220794504
Macoupin,Illinois,2467,0.02792737438663759,0.75,46482,700,15.814530973,35,4.4283134861,53.866034859094206,14.360907995,4.9076562906,170.07381203,224.4,2066.3744521000003,5307.430833440902,1505.9592960715977,5307.430833440902
Madera,California,6537,0.028526351542131453,0.6666666666666666,153366,1637,13.444284132,36,4.5649361775,71.76318485734545,22.548282987,7.0146924977,620.23550783,521.4,3614.0470508,4262.352803098471,1067.3812970280244,4262.352803098471
Madison,Alabama,15643,-11.728645591641303,0.9897959183673469,70656.74536489153,995.4568047337278,18.06721202371144,43.31439842209073,4.665020006425148,117.33873122720172,18.4662599603,3.7580725979715583,273.7267933511375,403.10481262327414,2744.9344616089033,22139.42903712179,1408.8630881494837,22139.42903712179
Magoffin,Kentucky,553,0.027838840931657005,0.5,12887,281,25.305766413,37,5.9676106035,41.780679837822966,27.915902957,13.239929947,31.28054741,135.6,5823.3706132,4291.146116241173,2180.491968650578,4291.146116241173
Mahaska,Iowa,1360,0.025595325701135384,0.5,22324,264,16.839749533,57,4.7515020191,39.105734884461434,14.300364234,2.4711415135,268.20437173,373.3,2167.3080818,6092.098190288479,1182.5837663501165,6092.098190288479
Mahnomen,Minnesota,325,0.020688070907329062,0.5,5480,117,25.176803673,18,4.5202643399,9.823013708449698,20.019595431,4.5513095749,208.61678005,679.1,6078.2681099,5930.656934306569,2135.036496350365,5930.656934306569
Mahoning,Ohio,9296,0.03026256644989432,0.6666666666666666,233015,3702,19.889566928,47,4.8662594777,566.2474681718419,17.849280508,5.9398474434,278.89667154,543.1,2671.1634355,3989.442739737785,1588.738922386971,3989.442739737785
Major,Oklahoma,551,0.023442156487702124,0.5,7721,131,15.39629737,39,4.0868118689,8.084920365099997,16.523142944,2.1223470662,38.657303009,260,2892.0308483,7136.381297759358,1696.6714156197384,7136.381297759358
Malheur,Oregon,2510,0.02893370489904406,0.5,30474,388,17.474126602,39,4.7015664124,3.082031054755237,20.872134031,4.6025774434,225.73755405,633.2,4033.8504937000002,8236.529500557852,1273.2165124368314,8236.529500557852
Manassas city,Virginia,2355,0.025787191358146968,0.3333333333333333,41149,389,15.462198143,47,3.7067198792,4163.987791415199,17.754901975,2.6766105417,308.56927498,587.9,3909.1504695,5723.103842134681,945.3449658557923,5723.103842134681
Manatee,Florida,17450,0.03178391524439193,0.5,353411,5151,15.218624112,46,4.3803317536,475.5541748892838,16.724621365,3.3890773272,518.70063208,394.5,2971.7868338999997,4937.593906245137,1457.5098115225614,4937.593906245137
Manistee,Michigan,444,0.01977889096072809,0.75,24465,419,16.136634514,41,3.9355927565,45.12457347529028,13.88721355,5.7394298833,259.85186398,204.7,3311.2582781,1814.8375229920293,1712.650725526262,1814.8375229920293
Manitowoc,Wisconsin,5787,0.032098914992329274,0.6666666666666666,80178,962,14.92612891,50,3.9036634461,136.04325907577044,12.667495421,3.1091584995,187.62547454,269,1866.2613982,7217.690638329716,1199.8303774102621,7217.690638329716
Marathon,Wisconsin,10993,0.0331878333658439,0.5,135367,1320,15.15327876,53,3.8927712599,87.61605037259359,11.807094256,2.6662886612,115.24237955,265.2,1406.8361817,8120.886183486374,975.1268773039219,8120.886183486374
